step,reward,tploss,action_a,action_f,A,f,expr
106,-0.7679696690370701,1.26796966903707,-0.5304301381111145,-0.3623902201652527,239.3913972377777,-45.685990899801254,239.39[m s^-1] | -45.69[m s^-1]
107,-0.8058807909403238,1.3058807909403238,0.01551121473312378,-0.7768542170524597,239.70162153244019,-61.22307524085045,239.70[m s^-1] | -61.22[m s^-1]
108,-0.76682163384387,1.26682163384387,0.4458359479904175,0.1688382774591446,248.61834049224854,-57.84630969166756,248.62[m s^-1] | -57.85[m s^-1]
109,-0.789344804041479,1.289344804041479,-0.11604434251785278,-0.4032247066497803,246.29745364189148,-65.91080382466316,246.30[m s^-1] | -65.91[m s^-1]
110,-0.8544986493979991,1.3544986493979991,-1.0,-0.44730719923973083,226.29745364189148,-74.85694780945778,226.30[m s^-1] | -74.86[m s^-1]
111,-0.917170798232662,1.417170798232662,1.0,1.0,246.29745364189148,-54.85694780945778,246.30[m s^-1] | -54.86[m s^-1]
112,-0.906248020592042,1.406248020592042,1.0,-0.35152995586395264,250.0,-61.88754692673683,250.00[m s^-1] | -61.89[m s^-1]
113,-0.9920424268491381,1.4920424268491381,1.0,-0.6053531765937805,250.0,-73.99461045861244,250.00[m s^-1] | -73.99[m s^-1]
114,-1.148459920310775,1.648459920310775,1.0,-1.0,250.0,-93.99461045861244,250.00[m s^-1] | -93.99[m s^-1]
115,-1.114461498990572,1.614461498990572,1.0,1.0,250.0,-73.99461045861244,250.00[m s^-1] | -73.99[m s^-1]
116,-1.109419088131844,1.609419088131844,1.0,0.2986622154712677,250.0,-68.02136614918709,250.00[m s^-1] | -68.02[m s^-1]
117,-1.163740507878786,1.663740507878786,0.6116020679473877,-1.0,250.0,-88.02136614918709,250.00[m s^-1] | -88.02[m s^-1]
118,-1.138163759560656,1.638163759560656,0.24195092916488647,0.10239047557115555,250.0,-85.97355663776398,250.00[m s^-1] | -85.97[m s^-1]
119,-1.142323752410948,1.642323752410948,0.8329273462295532,-0.501840353012085,250.0,-96.01036369800568,250.00[m s^-1] | -96.01[m s^-1]
